2023-07-19 14:10:30 Discord Discord.Net v3.11.0 (API v10)
2023-07-19 14:10:30 Gateway Connecting
2023-07-19 14:10:31 Gateway Connected
2023-07-19 14:10:31 Gateway Ready
2023-07-19 14:10:32 Victoria Websocket connection established.
2023-07-19 14:10:32 Victoria {"resumed":true,"sessionId":"oo9b24o7t3lnnjal","op":"ready"}
2023-07-19 14:10:32 Victoria Unknown OP code received (ready), check Lavalink implementation.
2023-07-19 14:10:33 Interaction Handler|Request thisusernameisunavailable. requested slots
2023-07-19 14:10:41 Slots { "prize_0" : "0", "prize_1" : "0", "prize_2" : "0", "prize_3" : "0", "prize_4" : "0", "prize_5" : "0", "prize_6" : "0", "prize_7" : "0", "prize_8" : "0", "prize_9" : "0" }
2023-07-19 14:10:41 Victoria {"players":0,"playingPlayers":0,"uptime":3196046,"memory":{"free":63670512,"used":36992784,"allocated":100663296,"reservable":6421479424},"cpu":{"cores":12,"systemLoad":0.11141441756825089,"lavalinkLoad":3.9030379803097983E-4},"op":"stats"}
2023-07-19 14:11:41 Victoria {"players":0,"playingPlayers":0,"uptime":3256051,"memory":{"free":58890688,"used":41772608,"allocated":100663296,"reservable":6421479424},"cpu":{"cores":12,"systemLoad":0.09807477852939911,"lavalinkLoad":3.6937057033037835E-4},"op":"stats"}
2023-07-19 14:12:41 Victoria {"players":0,"playingPlayers":0,"uptime":3316060,"memory":{"free":52968752,"used":47694544,"allocated":100663296,"reservable":6421479424},"cpu":{"cores":12,"systemLoad":0.07540315693438258,"lavalinkLoad":3.902647689521461E-4},"op":"stats"}
2023-07-19 14:13:41 Victoria {"players":0,"playingPlayers":0,"uptime":3376060,"memory":{"free":47174392,"used":53488904,"allocated":100663296,"reservable":6421479424},"cpu":{"cores":12,"systemLoad":0.0772125,"lavalinkLoad":3.02772731565585E-4},"op":"stats"}
2023-07-19 14:14:41 Victoria {"players":0,"playingPlayers":0,"uptime":3436050,"memory":{"free":41252384,"used":59410912,"allocated":100663296,"reservable":6421479424},"cpu":{"cores":12,"systemLoad":0.08090521373101982,"lavalinkLoad":2.833711161488198E-4},"op":"stats"}
2023-07-19 14:15:41 Victoria {"players":0,"playingPlayers":0,"uptime":3496056,"memory":{"free":36185984,"used":64477312,"allocated":100663296,"reservable":6421479424},"cpu":{"cores":12,"systemLoad":0.08086744471539747,"lavalinkLoad":4.1103575455610913E-4},"op":"stats"}
2023-07-19 14:16:41 Victoria {"players":0,"playingPlayers":0,"uptime":3556055,"memory":{"free":30402672,"used":70260624,"allocated":100663296,"reservable":6421479424},"cpu":{"cores":12,"systemLoad":0.05407935379213795,"lavalinkLoad":2.8204315955028704E-4},"op":"stats"}
2023-07-19 14:17:41 Victoria {"players":0,"playingPlayers":0,"uptime":3616056,"memory":{"free":24469792,"used":76193504,"allocated":100663296,"reservable":6421479424},"cpu":{"cores":12,"systemLoad":0.08053461036859672,"lavalinkLoad":3.4851236594076124E-4},"op":"stats"}
2023-07-19 14:18:41 Victoria {"players":0,"playingPlayers":0,"uptime":3676057,"memory":{"free":65523256,"used":35140040,"allocated":100663296,"reservable":6421479424},"cpu":{"cores":12,"systemLoad":0.06795774061133916,"lavalinkLoad":5.415764039326779E-4},"op":"stats"}
2023-07-19 14:19:41 Victoria {"players":0,"playingPlayers":0,"uptime":3736053,"memory":{"free":59853888,"used":40809408,"allocated":100663296,"reservable":6421479424},"cpu":{"cores":12,"systemLoad":0.07814216987645677,"lavalinkLoad":3.0422244078080984E-4},"op":"stats"}
2023-07-19 14:20:41 Victoria {"players":0,"playingPlayers":0,"uptime":3796055,"memory":{"free":53898656,"used":46764640,"allocated":100663296,"reservable":6421479424},"cpu":{"cores":12,"systemLoad":0.08278300674835805,"lavalinkLoad":3.902517609937115E-4},"op":"stats"}
2023-07-19 14:21:41 Victoria {"players":0,"playingPlayers":0,"uptime":3856050,"memory":{"free":48813264,"used":51850032,"allocated":100663296,"reservable":6421479424},"cpu":{"cores":12,"systemLoad":0.1083018600600342,"lavalinkLoad":4.3336944745395455E-4},"op":"stats"}
